workload,workload_name,rank,database,average_ms,fastest
point_lookup,Point Lookup,1,neo4j,82.79339300468564,True
point_lookup,Point Lookup,2,falkordb,112.33054999727756,False
point_lookup,Point Lookup,3,memgraph,162.26371399592608,False
point_lookup,Point Lookup,4,cognodb,218.89384500449523,False
point_lookup,Point Lookup,5,arangodb,220.28395002475008,False
hop_1,1-Hop Traversal,1,neo4j,65.36544499685988,True
hop_1,1-Hop Traversal,2,falkordb,112.71859599743038,False
hop_1,1-Hop Traversal,3,memgraph,162.2379049938172,False
hop_1,1-Hop Traversal,4,cognodb,217.9554290114902,False
hop_1,1-Hop Traversal,5,arangodb,221.10184700228274,False
hop_2,2-Hop Traversal,1,neo4j,94.63776499498636,True
hop_2,2-Hop Traversal,2,falkordb,120.28349299915135,False
hop_2,2-Hop Traversal,3,memgraph,202.92060499778017,False
hop_2,2-Hop Traversal,4,arangodb,238.82221901789308,False
hop_2,2-Hop Traversal,5,cognodb,260.45383100630715,False
hop_3,3-Hop Traversal,1,falkordb,157.01539600500837,True
hop_3,3-Hop Traversal,2,neo4j,267.3591909883544,False
hop_3,3-Hop Traversal,3,memgraph,488.21899600094184,False
hop_3,3-Hop Traversal,4,cognodb,728.0868780007586,False
hop_3,3-Hop Traversal,5,arangodb,2180.9363029990345,False
indexed_lookup,Indexed Lookup,1,neo4j,111.50824901182204,True
indexed_lookup,Indexed Lookup,2,falkordb,131.97174697415903,False
indexed_lookup,Indexed Lookup,3,arangodb,235.69342699367553,False
indexed_lookup,Indexed Lookup,4,memgraph,239.36452700057998,False
indexed_lookup,Indexed Lookup,5,cognodb,287.94162100413814,False
aggregation,Aggregation,1,neo4j,63.75884298700839,True
aggregation,Aggregation,2,falkordb,113.18360100733116,False
aggregation,Aggregation,3,memgraph,166.3301789946854,False
aggregation,Aggregation,4,arangodb,218.6997040035203,False
aggregation,Aggregation,5,cognodb,230.59582601534203,False
