workload,workload_name,database,average_ms,relative_to_best_pct,p95_ms,p95_relative_to_best_pct,fastest_average,fastest_p95
point_lookup,Point Lookup,cognodb,218.89384500449523,62.17646366302105,225.93897506594658,47.74013647961517,False,False
point_lookup,Point Lookup,neo4j,82.79339300468564,0.0,150.12709493748835,21.3497070212505,True,False
point_lookup,Point Lookup,memgraph,162.26371399592608,48.97602737802222,166.87873491318896,29.24478959512527,False,False
point_lookup,Point Lookup,arangodb,220.28395002475008,62.41514963056394,290.1243050582707,59.30178962941252,False,False
point_lookup,Point Lookup,falkordb,112.33054999727756,26.29485655799583,118.07540000882,0.0,False,True
hop_1,1-Hop Traversal,cognodb,217.9554290114902,70.00971928374679,223.16422009607777,67.9061545430948,False,False
hop_1,1-Hop Traversal,neo4j,65.36544499685988,0.0,71.62197991274297,0.0,True,True
hop_1,1-Hop Traversal,memgraph,162.2379049938172,59.71012754426845,166.7793098720722,57.055836261895735,False,False
hop_1,1-Hop Traversal,arangodb,221.10184700228274,70.43649979270185,282.9853900009766,74.69057327924392,False,False
hop_1,1-Hop Traversal,falkordb,112.71859599743038,42.010061056518126,121.8139648088254,41.20380202290734,False,False
hop_2,2-Hop Traversal,cognodb,260.45383100630715,63.66428375066035,275.2223349176347,60.37533801368485,False,False
hop_2,2-Hop Traversal,neo4j,94.63776499498636,0.0,109.05591992195694,0.0,True,True
hop_2,2-Hop Traversal,memgraph,202.92060499778017,53.36217088647965,217.81312506645918,49.9314286553293,False,False
hop_2,2-Hop Traversal,arangodb,238.82221901789308,60.37313220513377,301.4000099617988,63.816882442777846,False,False
hop_2,2-Hop Traversal,falkordb,120.28349299915135,21.32107021895842,129.9082099692896,16.051556750926025,False,False
hop_3,3-Hop Traversal,cognodb,728.0868780007586,78.43452467703383,810.1169251371175,78.0875427565108,False,False
hop_3,3-Hop Traversal,neo4j,267.3591909883544,41.27174180002376,320.1418998418376,44.55067426955351,False,False
hop_3,3-Hop Traversal,memgraph,488.21899600094184,67.83914651188512,542.6541799446568,67.28735695705052,False,False
hop_3,3-Hop Traversal,arangodb,2180.9363029990345,92.80055103906086,3223.4463450731705,94.49295859649524,False,False
hop_3,3-Hop Traversal,falkordb,157.01539600500837,0.0,177.51652484294027,0.0,True,True
indexed_lookup,Indexed Lookup,cognodb,287.94162100413814,61.27400803574017,304.9266900634393,60.30929931664808,False,False
indexed_lookup,Indexed Lookup,neo4j,111.50824901182204,0.0,121.02753985673189,0.0,True,True
indexed_lookup,Indexed Lookup,memgraph,239.36452700057998,53.41488130714045,268.36318991845474,54.90158695255206,False,False
indexed_lookup,Indexed Lookup,arangodb,235.69342699367553,52.68928351794291,302.795264928136,60.02991001677124,False,False
indexed_lookup,Indexed Lookup,falkordb,131.97174697415903,15.505968839181827,162.4558100127615,25.50125486603112,False,False
aggregation,Aggregation,cognodb,230.59582601534203,72.35039155358936,238.0211949464865,71.85086187853553,False,False
aggregation,Aggregation,neo4j,63.75884298700839,0.0,67.00091492384672,0.0,True,True
aggregation,Aggregation,memgraph,166.3301789946854,61.667303328612654,173.83614492136982,61.45743167846203,False,False
aggregation,Aggregation,arangodb,218.6997040035203,70.84639721964045,295.7888251869008,77.34839547048111,False,False
aggregation,Aggregation,falkordb,113.18360100733116,43.66777305231825,118.84060988668352,43.621195660529516,False,False
